camis,inspection_date,dba,boro,cuisine,zipcode,score,grade,action,inspection_type,latitude,longitude,n_violations,n_critical,year
50134539,2024-10-16,T.CAFE / BAKERY,Manhattan,Coffee/Tea,10038.0,0.0,A,No violations were recorded at the time of this inspection.,Cycle Inspection / Initial Inspection,40.706373778571,-74.002881837307,0,0,2024.0
50134692,2025-09-13,MILAGRO TEQUILA BAR,Queens,American,,0.0,A,No violations were recorded at the time of this inspection.,Cycle Inspection / Initial Inspection,,,0,0,2025.0
50135484,2025-06-07,WONDER,Manhattan,Other,10011.0,0.0,,No violations were recorded at the time of this inspection.,Inter-Agency Task Force / Initial Inspection,40.743312714839,-73.993803668759,0,0,2025.0
50135628,2024-10-11,CROWN CHICKEN & PIZZA,Brooklyn,Pizza,11236.0,20.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.648256786953,-73.897548170659,1,0,2024.0
50136527,2025-09-16,CUBAN SHACK,Brooklyn,Spanish,11201.0,27.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.68824656389,-73.986662068705,1,0,2025.0
50136993,2025-07-17,CAFFE CORRETTO,Brooklyn,Coffee/Tea,11204.0,,,No violations were recorded at the time of this inspection.,Smoke-Free Air Act / Re-inspection,40.616421085504,-73.985970498267,0,0,2025.0
50137300,2024-06-15,BARK BARBECUE,Brooklyn,Barbecue,11201.0,0.0,,No violations were recorded at the time of this inspection.,Inter-Agency Task Force / Initial Inspection,40.703293906326,-73.992047363499,0,0,2024.0
50137981,2025-09-12,CENTRAL PARK BOATHOUSE CAFE,Manhattan,Continental,,32.0,,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2025.0
50139266,2025-06-16,ADRIENNES,Queens,American,11693.0,0.0,,No violations were recorded at the time of this inspection.,Cycle Inspection / Initial Inspection,40.597585335457,-73.819770927129,0,0,2025.0
50140575,2025-03-04,POKEBAB,Brooklyn,Hawaiian,11211.0,13.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,40.716944704529,-73.958659430619,1,1,2025.0
50143094,2024-01-02,TATOS PIZZA,Brooklyn,Pizza,11214.0,13.0,A,Violations were cited in the following area(s).,Pre-permit (Operational) / Initial Inspection,40.608258944946,-74.001382969819,1,1,2024.0
50144257,2023-12-05,FOODMANDU,Queens,Asian/Asian Fusion,11104.0,13.0,N,Violations were cited in the following area(s).,Pre-permit (Non-operational) / Initial Inspection,40.743467070595,-73.921338518141,1,1,2023.0
50144537,2024-08-22,Sesame Bakery,Brooklyn,Jewish/Kosher,11219.0,31.0,C,Violations were cited in the following area(s).,Cycle Inspection / Re-inspection,40.634284776915,-73.992895093271,1,1,2024.0
50145501,2024-01-19,AXZO CAFE,Brooklyn,Coffee/Tea,11232.0,0.0,,No violations were recorded at the time of this inspection.,Pre-permit (Non-operational) / Re-inspection,40.655642097468,-74.003045423732,0,0,2024.0
50145538,2024-02-29,BEST WOK NO1,Brooklyn,Chinese,,12.0,A,Violations were cited in the following area(s).,Pre-permit (Operational) / Initial Inspection,,,1,0,2024.0
50145538,2025-06-09,BEST WOK NO1,Brooklyn,Chinese,,13.0,A,Violations were cited in the following area(s).,Cycle Inspection / Initial Inspection,,,1,1,2025.0
50146177,2025-08-14,BAHNMEBOIS,Queens,Asian/Asian Fusion,11101.0,,,No violations were recorded at the time of this inspection.,Administrative Miscellaneous / Initial Inspection,40.748029834721,-73.94693224445,0,0,2025.0
50146943,2024-09-26,EL HUASTECO MEXICAN FOOD,Brooklyn,Mexican,11225.0,47.0,,Violations were cited in the following area(s).,Pre-permit (Operational) / Initial Inspection,,,2,1,2024.0
50148378,2025-07-28,G'S CHEESESTEAKS,Manhattan,Other,10009.0,30.0,N,Violations were cited in the following area(s).,Pre-permit (Operational) / Initial Inspection,40.721702186201,-73.983671830786,1,1,2025.0
50150789,2024-09-02,LATOYA'S KITCHEN,Manhattan,Caribbean,,0.0,,No violations were recorded at the time of this inspection.,Inter-Agency Task Force / Initial Inspection,,,0,0,2024.0
50150789,2025-09-01,LATOYA'S KITCHEN,Manhattan,Caribbean,,0.0,,No violations were recorded at the time of this inspection.,Inter-Agency Task Force / Initial Inspection,,,0,0,2025.0
50155115,2025-05-15,MOKA & CO,Manhattan,Coffee/Tea,10016.0,0.0,,Establishment re-opened by DOHMH.,Pre-permit (Operational) / Reopening Inspection,40.742677159922,-73.980353812172,0,0,2025.0
50157280,2024-09-27,MIMI'S,Brooklyn,Mediterranean,11218.0,0.0,Z,Establishment re-opened by DOHMH.,Pre-permit (Operational) / Reopening Inspection,40.63941065045,-73.968450627873,0,0,2024.0
50159852,2025-10-09,DAILY GROCERY,Bronx,Other,,27.0,,Violations were cited in the following area(s).,Pre-permit (Operational) / Compliance Inspection,,,1,1,2025.0
50164305,2025-09-13,CERES,Manhattan,Pizza,10013.0,0.0,,No violations were recorded at the time of this inspection.,Inter-Agency Task Force / Initial Inspection,40.719738031861,-73.996194054618,0,0,2025.0
50164916,2025-07-11,OLIVE & GARLIC MARKET,Brooklyn,American,11201.0,0.0,Z,Establishment re-opened by DOHMH.,Pre-permit (Operational) / Reopening Inspection,40.694620528563,-73.99367117713,0,0,2025.0
50167477,2025-09-29,KOFEE,Bronx,Coffee/Tea,10451.0,0.0,,Establishment re-opened by DOHMH.,Pre-permit (Operational) / Reopening Inspection,40.808348325003,-73.931004061248,0,0,2025.0
